Date,sentiment_score_7d_avg,news_count,stock_price_7d_avg,Company,Year
2021-04-28,3.680714440520568,24.0,82314.28571428571,Samsung,2021
2021-04-29,3.549575326475219,153.0,82285.71428571429,Samsung,2021
2021-04-30,3.562420837065347,68.0,82114.28571428571,Samsung,2021
2021-05-01,3.5189348748049416,4.0,82114.28571428571,Samsung,2021
2021-05-02,3.503105150726975,10.0,82114.28571428571,Samsung,2021
2021-05-03,3.4148975721067307,34.0,81971.42857142857,Samsung,2021
2021-05-04,3.32240644478332,30.0,82128.57142857143,Samsung,2021
2021-05-05,3.192874125617563,20.0,82128.57142857143,Samsung,2021
2021-05-06,3.2367953488250527,39.0,82057.14285714286,Samsung,2021
2021-05-07,3.1678119785279892,14.0,81842.85714285714,Samsung,2021
2021-05-08,3.149517442232702,5.0,81842.85714285714,Samsung,2021
2021-05-09,3.1100531284647035,15.0,81842.85714285714,Samsung,2021
2021-05-10,3.1738002382180177,31.0,81385.71428571429,Samsung,2021
2021-05-11,3.167343014436919,16.0,81028.57142857143,Samsung,2021
2021-05-12,3.080374944340238,40.0,80642.85714285714,Samsung,2021
2021-05-13,3.1255034370714605,69.0,80314.28571428571,Samsung,2021
2021-05-14,3.1896275820668927,38.0,79785.71428571429,Samsung,2021
2021-05-15,3.1910504625421927,7.0,79785.71428571429,Samsung,2021
2021-05-16,3.167522792642021,26.0,79785.71428571429,Samsung,2021
2021-05-17,3.1556417650881663,43.0,79628.57142857143,Samsung,2021
2021-05-18,3.264774074806135,26.0,79585.71428571429,Samsung,2021
2021-05-19,3.4123345384516597,10.0,79585.71428571429,Samsung,2021
2021-05-20,3.3555058935955713,36.0,79785.71428571429,Samsung,2021
2021-05-21,3.258361675074275,46.0,79742.85714285714,Samsung,2021
2021-05-22,3.2364582497955925,6.0,79742.85714285714,Samsung,2021
2021-05-23,3.3173953762061505,12.0,79742.85714285714,Samsung,2021
2021-05-24,3.324916159493395,25.0,79742.85714285714,Samsung,2021
2021-05-25,3.327917453104345,22.0,79814.28571428571,Samsung,2021
2021-05-26,3.456572204991075,23.0,79957.14285714286,Samsung,2021
2021-05-27,3.4366561618806157,41.0,80028.57142857143,Samsung,2021
2021-05-28,3.5385097165960744,30.0,80185.71428571429,Samsung,2021
2021-05-29,3.5258247754591237,5.0,80185.71428571429,Samsung,2021
2021-05-30,3.5414351311483756,6.0,80185.71428571429,Samsung,2021
2021-05-31,3.4778785050820957,23.0,80600.0,Samsung,2021
2021-06-01,3.4696029272450253,42.0,80942.85714285714,Samsung,2021
2021-06-02,3.2928270163040603,17.0,81271.42857142857,Samsung,2021
2021-06-03,3.3155715921290243,30.0,81528.57142857143,Samsung,2021
2021-06-04,3.2504844144638896,28.0,81614.28571428571,Samsung,2021
2021-06-05,3.3552841240942928,6.0,81614.28571428571,Samsung,2021
2021-06-06,3.4477985528063684,14.0,81614.28571428571,Samsung,2021
2021-06-07,3.5585550934556522,23.0,81671.42857142857,Samsung,2021
2021-06-08,3.5107672842624353,28.0,81700.0,Samsung,2021
2021-06-09,3.5576784606815144,26.0,81371.42857142857,Samsung,2021
2021-06-10,3.582077166982047,20.0,81185.71428571429,Samsung,2021
2021-06-11,3.5867687035908524,16.0,81171.42857142857,Samsung,2021
