Date,Close,Open,High,Low,Vol.
11/08/2021,150.44,151.41,151.57,150.16,55.02M
11/05/2021,151.28,151.89,152.2,150.06,65.46M
11/04/2021,150.96,151.58,152.43,150.64,60.39M
11/03/2021,151.49,150.39,151.97,149.82,54.51M
11/02/2021,150.02,148.66,151.57,148.65,69.12M
11/01/2021,148.96,148.99,149.7,147.8,74.59M
10/29/2021,149.8,147.22,149.94,146.41,124.95M
10/28/2021,152.57,149.82,153.16,149.72,100.08M
10/27/2021,148.85,149.36,149.73,148.49,56.09M
10/26/2021,149.32,149.33,150.84,149.01,60.89M
10/25/2021,148.64,148.68,149.37,147.62,50.72M
10/22/2021,148.69,149.69,150.18,148.64,58.88M
10/21/2021,149.48,148.81,149.64,147.87,61.42M
10/20/2021,149.26,148.7,149.75,148.12,58.42M
10/19/2021,148.76,147.01,149.17,146.55,76.38M
10/18/2021,146.55,143.44,146.84,143.16,85.59M
10/15/2021,144.84,143.77,144.9,143.51,67.94M
10/14/2021,143.76,142.11,143.88,141.51,69.91M
10/13/2021,140.91,141.24,141.4,139.2,78.76M
10/12/2021,141.51,143.23,143.25,141.04,73.04M
10/11/2021,142.81,142.27,144.81,141.81,64.45M
10/08/2021,142.9,144.03,144.18,142.56,58.77M
10/07/2021,143.29,143.06,144.22,142.72,61.73M
10/06/2021,142,139.47,142.15,138.37,83.22M
10/05/2021,141.11,139.49,142.24,139.36,80.86M
10/04/2021,139.14,141.76,142.21,138.27,98.32M
10/01/2021,142.65,141.9,142.92,139.11,94.64M
09/30/2021,141.5,143.66,144.38,141.28,89.06M
09/29/2021,142.83,142.47,144.45,142.03,74.60M
09/28/2021,141.91,143.25,144.75,141.69,108.97M
09/27/2021,145.37,145.47,145.96,143.82,74.15M
09/24/2021,146.92,145.66,147.47,145.56,53.48M
09/23/2021,146.83,146.65,147.08,145.64,64.84M
09/22/2021,145.85,144.45,146.43,143.7,76.40M
09/21/2021,143.43,143.93,144.6,142.78,75.83M
09/20/2021,142.94,143.8,144.84,141.27,123.48M
09/17/2021,146.06,148.82,148.82,145.76,129.87M
09/16/2021,148.79,148.44,148.97,147.22,68.03M
09/15/2021,149.03,148.56,149.44,146.37,83.28M
09/14/2021,148.12,150.35,151.07,146.91,109.30M
09/13/2021,149.55,150.63,151.42,148.75,102.40M
09/10/2021,148.97,155,155.48,148.7,140.89M
09/09/2021,154.07,155.49,156.11,153.95,57.31M
09/08/2021,155.11,156.98,157.04,153.97,74.42M
09/07/2021,156.69,154.97,157.26,154.39,82.28M
09/03/2021,154.3,153.76,154.63,153.09,57.87M
09/02/2021,153.65,153.87,154.72,152.4,71.17M
09/01/2021,152.51,152.83,154.98,152.34,80.31M
08/31/2021,151.83,152.66,152.8,151.29,86.45M
08/30/2021,153.12,149,153.49,148.61,90.96M
08/27/2021,148.6,147.48,148.75,146.83,55.80M
08/26/2021,147.54,148.35,149.12,147.51,48.60M
08/25/2021,148.36,149.81,150.32,147.8,58.99M
08/24/2021,149.62,149.45,150.86,149.15,48.61M
08/23/2021,149.71,148.31,150.19,147.89,60.13M
08/20/2021,148.19,147.44,148.5,146.78,60.55M
