Date,Close,Open,High,Low,Vol.
11/02/2022,145.03,148.95,152.17,145,93.60M
11/01/2022,150.65,155.08,155.45,149.13,80.38M
10/31/2022,153.34,153.15,154.24,151.92,97.94M
10/28/2022,155.74,148.2,157.5,147.82,164.76M
10/27/2022,144.8,148.07,149.05,144.13,109.18M
10/26/2022,149.35,150.96,151.99,148.04,88.44M
10/25/2022,152.34,150.09,152.49,149.36,74.73M
10/24/2022,149.45,147.18,150.23,146,75.98M
10/21/2022,147.27,142.87,147.85,142.65,86.55M
10/20/2022,143.39,143.02,145.89,142.65,64.52M
10/19/2022,143.86,141.69,144.95,141.5,61.76M
10/18/2022,143.75,145.49,146.7,140.61,99.14M
10/17/2022,142.41,141.07,142.9,140.27,85.25M
10/14/2022,138.38,144.31,144.52,138.19,88.60M
10/13/2022,142.99,134.99,143.59,134.37,113.22M
10/12/2022,138.34,139.13,140.36,138.16,70.43M
10/11/2022,138.98,139.9,141.35,138.22,77.03M
10/10/2022,140.42,140.42,141.89,138.57,74.90M
10/07/2022,140.09,142.54,143.1,139.45,85.93M
10/06/2022,145.43,145.81,147.54,145.22,68.40M
10/05/2022,146.4,144.07,147.38,143.01,79.47M
10/04/2022,146.1,145.03,146.22,144.26,87.83M
10/03/2022,142.45,138.21,143.07,137.68,114.31M
09/30/2022,138.2,141.28,143.1,138,124.93M
09/29/2022,142.48,146.1,146.72,140.68,128.14M
09/28/2022,149.84,147.64,150.64,144.84,146.69M
09/27/2022,151.76,152.74,154.72,149.95,84.44M
09/26/2022,150.77,149.66,153.77,149.64,93.34M
09/23/2022,150.43,151.19,151.47,148.56,96.03M
09/22/2022,152.74,152.38,154.47,150.91,86.65M
09/21/2022,153.72,157.34,158.74,153.6,101.70M
09/20/2022,156.9,153.4,158.08,153.08,107.69M
09/19/2022,154.48,149.31,154.56,149.1,81.47M
09/16/2022,150.7,151.21,151.35,148.37,162.28M
09/15/2022,152.37,154.65,155.24,151.38,90.48M
09/14/2022,155.31,154.79,157.1,153.61,87.97M
09/13/2022,153.84,159.9,160.54,153.37,122.66M
09/12/2022,163.43,159.59,164.26,159.3,104.96M
09/09/2022,157.37,155.47,157.82,154.75,68.08M
09/08/2022,154.46,154.64,156.36,152.68,84.92M
09/07/2022,155.96,154.82,156.67,153.61,87.45M
09/06/2022,154.53,156.47,157.09,153.69,73.71M
09/02/2022,155.81,159.75,160.36,154.96,76.96M
09/01/2022,157.96,156.64,158.42,154.67,74.23M
08/31/2022,157.22,160.3,160.58,157.14,87.99M
08/30/2022,158.91,162.13,162.56,157.72,77.91M
08/29/2022,161.38,161.15,162.9,159.82,73.31M
08/26/2022,163.62,170.57,171.05,163.56,78.96M
08/25/2022,170.03,168.78,170.14,168.35,51.22M
08/24/2022,167.53,167.32,168.11,166.24,53.84M
08/23/2022,167.23,167.08,168.71,166.65,54.15M
08/22/2022,167.57,169.69,169.86,167.13,69.03M
08/19/2022,171.52,173.03,173.74,171.31,70.35M
08/18/2022,174.15,173.75,174.9,173.12,62.29M
08/17/2022,174.55,172.77,176.15,172.57,79.54M
08/16/2022,173.03,172.78,173.71,171.66,56.38M
08/15/2022,173.19,171.52,173.39,171.35,54.09M
08/12/2022,172.1,169.82,172.17,169.4,68.04M
08/11/2022,168.49,170.06,170.99,168.19,57.15M
08/10/2022,169.24,167.68,169.34,166.9,70.17M
08/09/2022,164.92,164.02,165.82,163.25,63.14M
08/08/2022,164.87,166.37,167.81,164.2,60.36M
08/05/2022,165.35,163.21,165.85,163,56.70M
08/04/2022,165.81,166.01,167.19,164.43,55.47M
08/03/2022,166.13,160.84,166.59,160.75,82.51M
08/02/2022,160.01,160.1,162.41,159.63,59.91M
08/01/2022,161.51,161.01,163.59,160.89,67.83M
07/29/2022,162.51,161.24,163.63,159.5,101.79M
07/28/2022,157.35,156.98,157.64,154.41,81.38M
07/27/2022,156.79,152.58,157.33,152.16,78.62M
07/26/2022,151.6,152.26,153.09,150.8,55.14M
07/25/2022,152.95,154.01,155.04,152.28,53.62M
07/22/2022,154.09,155.39,156.28,153.41,66.68M
07/21/2022,155.35,154.5,155.57,151.94,65.09M
07/20/2022,153.04,151.12,153.72,150.37,64.82M
07/19/2022,151,147.92,151.23,146.91,82.98M
07/18/2022,147.07,150.74,151.57,146.7,81.42M
07/15/2022,150.17,149.78,150.86,148.2,76.26M
07/14/2022,148.47,144.08,148.95,143.25,78.14M
07/13/2022,145.49,142.99,146.45,142.12,71.19M
07/12/2022,145.86,145.76,148.45,145.05,77.59M
07/11/2022,144.87,145.67,146.64,143.78,63.31M
07/08/2022,147.04,145.26,147.55,145,64.55M
07/07/2022,146.35,143.29,146.55,143.28,66.25M
07/06/2022,142.92,141.35,144.12,141.08,74.06M
07/05/2022,141.56,137.77,141.61,136.93,73.43M
07/01/2022,138.93,136.04,139.04,135.66,71.05M
06/30/2022,136.72,137.25,138.37,133.77,98.96M
06/29/2022,139.23,137.46,140.67,136.67,66.24M
06/28/2022,137.44,142.13,143.42,137.32,67.32M
06/27/2022,141.66,142.7,143.49,140.96,70.21M
06/24/2022,141.66,139.9,141.91,139.77,89.12M
06/23/2022,138.27,136.82,138.59,135.63,72.43M
06/22/2022,135.35,134.79,137.76,133.91,73.41M
06/21/2022,135.87,133.42,137.06,133.32,81.00M
06/17/2022,131.56,130.07,133.08,129.81,134.52M
06/16/2022,130.06,132.08,132.39,129.04,107.96M
06/15/2022,135.43,134.29,137.34,132.16,91.53M
06/14/2022,132.76,133.13,133.89,131.48,84.78M
06/13/2022,131.88,132.87,135.2,131.44,122.21M
06/10/2022,137.13,140.28,140.76,137.06,91.57M
06/09/2022,142.64,147.08,147.95,142.53,69.47M
06/08/2022,147.96,148.58,149.87,147.46,53.95M
06/07/2022,148.71,144.35,149,144.1,67.81M
06/06/2022,146.14,147.03,148.57,144.9,71.60M
06/03/2022,145.38,146.9,147.97,144.46,88.57M
06/02/2022,151.21,147.83,151.27,146.86,72.35M
06/01/2022,148.71,149.9,151.74,147.68,74.29M
